Rankings	Company	Industry
503.	Sherwin-Williams	Construction, Oil & Gas Operations, Mining and Chemicals
504.	Fujifilm Holdings	Consumer Durables
505.	Intuit	IT Software & Services
506.	Lam Research	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
507.	Erste Group Bank	Banking and Financial Services
508.	Lincoln National	Insurance
509.	Carrier Global	Capital Goods
510.	DISH Network	Media
511.	China Coal Energy	Materials
512.	Continental	Automotive (Automotive and Suppliers)
513.	VTB Bank	Banking
514.	Murata Manufacturing	Technology Hardware & Equipment
515.	Larsen & Toubro	Construction
516.	Ally Financial	Banking and Financial Services
517.	NetEase	IT Software & Services
518.	Bank Central Asia	Banking
519.	Volvo Car	Consumer Durables
520.	Intact Financial	Insurance
521.	Orsted	Oil & Gas Operations
522.	Cummins	Engineering, Manufacturing
523.	Williams	Construction, Oil & Gas Operations, Mining and Chemicals
524.	Capgemini	IT Software & Services
525.	Prologis	Real Estate
526.	Thales	Aerospace & Defense
527.	Bouygues	Construction
528.	Banorte	Banking
529.	CK Asset Holdings	Construction
529.	Orange	Telecommunications Services
531.	Kuehne & Nagel International	Transportation
532.	Bunge	Food, Drink & Tobacco
533.	Samsung Life Insurance	Insurance
533.	VMware	IT Software & Services
535.	Albertsons	Food Markets
536.	CRRC	Capital Goods
537.	CBRE Group	1906
537.	Toshiba	Conglomerate
539.	Samsung C&T	Trading Companies
540.	Infosys	IT Software & Services
541.	Prudential	Banking and Financial Services
542.	Yankuang Energy Group	Materials
543.	Canadian Pacific Railway	Transportation
544.	Loews	Insurance
545.	Tokyo Electron	Semiconductors
546.	LG Electronics	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
547.	CSL	Drugs & Biotechnology
547.	Magna International	Automotive (Automotive and Suppliers)
549.	Analog Devices	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
550.	Kubota	Capital Goods
551.	Air Products & Chemicals	Chemicals
551.	Newmont Mining	Materials
551.	TE Connectivity	Technology Hardware & Equipment
554.	Aon	Insurance
555.	TELUS	Telecommunications Services, Cable Supplier
556.	Dollar Tree	Retail and Wholesale
557.	KeyCorp	Banking
558.	WTW	Insurance
559.	China Zheshang Bank	Banking
559.	Wesfarmers	Food Markets
561.	Suzuki Motor	Consumer Durables
562.	Best Buy	Retail and Wholesale
562.	SVB Financial Group	1983
564.	Advanced Micro Devices	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
565.	Markel	Banking and Financial Services
566.	Muyuan Foodstuff	Food, Drink & Tobacco
567.	Kimberly-Clark	Packaged Goods
568.	Swedbank	Banking
569.	Cognizant	IT Software & Services
570.	Corning	Engineering, Manufacturing
571.	Infineon Technologies	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
572.	Citizens Financial Group	Banking
573.	Devon Energy	Construction, Oil & Gas Operations, Mining and Chemicals
574.	Asahi Group Holdings	Food, Drink & Tobacco
575.	JSW Steel	Materials
575.	Lumen Technologies	Telecommunications Services, Cable Supplier
577.	Regions Financial	1971
578.	Svenska Handelsbanken	Banking and Financial Services
579.	Raymond James Financial	Diversified Financials
580.	BYD	Consumer Durables
581.	Illinois Tool Works	Capital Goods
582.	Pinduoduo	Retailing
583.	Activision Blizzard	Consumer Durables
584.	Liberty Global	Media
585.	Colgate-Palmolive	Packaged Goods
585.	SSE	Utilities
587.	Nan Ya Plastics	Chemicals
587.	Vivendi	Telecommunications Services
589.	Baxter International	Health Care Equipment & Services
590.	Fosun International	Insurance
591.	Weichai Power	Capital Goods
592.	Fidelity National Financial	Insurance
592.	Parker-Hannifin	Capital Goods
594.	Vedanta Limited	Materials
595.	Woori Financial Group	Diversified Financials
596.	Sysco	Business Services & Supplies
597.	Telstra	Telecommunications Services
598.	Credit Suisse Group	Banking
598.	Rogers Communications	Telecommunications Services, Cable Supplier
600.	M&T Bank	Banking
601.	Boston Scientific	Health Care Equipment & Services
